restuarant_name,cuisine,rating,delivery_time,cost,restuarant_link,image_url,location
Abid's,30% OFF,4.3,31 min,₹700 for one,https://www.zomato.com/chennai/abids-kilpauk/order,,chennai
Rekha Mithai,30% OFF,4.2,37 min,₹150 for one,https://www.zomato.com/chennai/rekha-mithai-vepery/order,,chennai
Riyas Biriyani,30% OFF,3.8,28 min,₹150 for one,https://www.zomato.com/chennai/riyas-biriyani-purasavakkam/order,,chennai
New Moghal Briyani & Fast Food,30% OFF,4.2,37 min,₹100 for one,https://www.zomato.com/chennai/new-moghal-briyani-fast-food-triplicane/order,,chennai
Darbar Kalyana Biryani,30% OFF,3.8,34 min,₹200 for one,https://www.zomato.com/chennai/darbar-kalyana-biryani-egmore/order,,chennai
Cake Square - Pulianthope,30% OFF,3.5,41 min,₹200 for one,https://www.zomato.com/chennai/cake-square-pulianthope-purasavakkam/order,,chennai
Third Wave Coffee,30% OFF,4.2,36 min,₹350 for one,https://www.zomato.com/chennai/third-wave-coffee-kilpauk/order,,chennai
La Pizza Loca,30% OFF,4.3,35 min,₹100 for one,https://www.zomato.com/chennai/la-pizza-loca-egmore/order,,chennai
Balaji Sandwich - Alsa Mall,Flat 10% OFF,4.1,33 min,₹100 for one,https://www.zomato.com/chennai/balaji-sandwich-alsa-mall-egmore/order,,chennai
Sandy's Chocolate Laboratory,30% OFF,4.2,43 min,₹400 for one,https://www.zomato.com/chennai/sandys-chocolate-laboratory-nungambakkam/order,,chennai
Nellai Darbar,30% OFF,4.1,26 min,₹200 for one,https://www.zomato.com/chennai/nellai-darbar-egmore/order,,chennai
WOW! Kulfi,Flat 30% OFF,3.9,22 min,for one,https://www.zomato.com/chennai/wow-kulfi-park-town/order,,chennai
Dum Safar Biryani,₹101 OFF,3.8,45 min,₹200 for one,https://www.zomato.com/chennai/dum-safar-biryani-thousand-lights/order,,chennai
Nxtdoor,30% OFF,4.1,25 min,₹150 for one,https://www.zomato.com/chennai/nxtdoor-purasavakkam/order,,chennai
Beyond Loaf,30% OFF,4.5,38 min,₹150 for one,https://www.zomato.com/chennai/beyond-loaf-chetpet/order,,chennai
Hotel Ashoka - Abhinandan,30% OFF,4.1,31 min,₹300 for one,https://www.zomato.com/chennai/hotel-ashoka-abhinandan-egmore/order,,chennai
Mahalaxmi Hot And Cool,30% OFF,4.3,23 min,₹100 for one,https://www.zomato.com/chennai/mahalaxmi-hot-and-cool-purasavakkam/order,,chennai
Zam Zam Fast Food,30% OFF,4.0,30 min,₹150 for one,https://www.zomato.com/chennai/zam-zam-fast-food-egmore/order,,chennai
Apple Residency,30% OFF,4.3,34 min,₹200 for one,https://www.zomato.com/chennai/apple-residency-triplicane/order,,chennai
Nooj Sweets And Bakehouse,₹101 OFF,4.2,31 min,₹100 for one,https://www.zomato.com/chennai/nooj-sweets-and-bakehouse-egmore/order,,chennai
"UBQ-Meals,Thalis & Bowls",30% OFF,3.9,44 min,₹250 for one,https://www.zomato.com/chennai/ubq-meals-thalis-bowls-nungambakkam/order,,chennai
Keventers Ice Cream,30% OFF,3.8,41 min,₹150 for one,https://www.zomato.com/chennai/keventers-ice-cream-kilpauk/order,,chennai
DOU,30% OFF,4.2,45 min,₹600 for one,https://www.zomato.com/chennai/dou-nungambakkam/order,,chennai
Hotel V Chicken,30% OFF,4.1,36 min,₹150 for one,https://www.zomato.com/chennai/hotel-v-chicken-anna-salai/order,,chennai
Ajanabi - Fountain Plaza - Since 1973,30% OFF,4.3,36 min,₹100 for one,https://www.zomato.com/chennai/ajanabi-fountain-plaza-since-1973-egmore/order,,chennai
Manohari Sweets And Chat,30% OFF,4.3,42 min,₹100 for one,https://www.zomato.com/chennai/manohari-sweets-and-chat-1-vepery/order,,chennai
Hotel Deccan,"North Indian, Kerala, Chinese, Seafood",4.1,24 min,₹200 for one,https://www.zomato.com/chennai/hotel-deccan-purasavakkam/order,,chennai
Lassi Junction,30% OFF,3.8,25 min,₹100 for one,https://www.zomato.com/chennai/lassi-junction-purasavakkam/order,,chennai
Keifer,30% OFF,3.5,25 min,₹100 for one,https://www.zomato.com/chennai/keifer-purasavakkam/order,,chennai
Atho Kadai,30% OFF,4.1,33 min,₹100 for one,https://www.zomato.com/chennai/atho-kadai-1-kilpauk/order,,chennai
WingMan By BurgerMan,30% OFF,4.3,45 min,₹200 for one,https://www.zomato.com/chennai/wingman-by-burgerman-nungambakkam/order,,chennai
Waffomelt Co,30% OFF,3.9,33 min,₹150 for one,https://www.zomato.com/chennai/waffomelt-co-purasavakkam/order,,chennai
Nati Raja - Donne Biryani,₹300 OFF,2.1,37 min,₹100 for one,https://www.zomato.com/chennai/nati-raja-donne-biryani-anna-salai/order,,chennai
Thinsane Pizza by Oven Story,30% OFF,2.8,32 min,₹40 for one,https://www.zomato.com/chennai/thinsane-pizza-by-oven-story-purasavakkam/order,,chennai
Filli Cafe,30% OFF,4.0,47 min,₹550 for one,https://www.zomato.com/chennai/filli-cafe-nungambakkam/order,,chennai
Mantras Pure Veg Restaurant,30% OFF,4.3,32 min,₹550 for one,https://www.zomato.com/chennai/mantras-pure-veg-restaurant-kilpauk/order,,chennai
Batter,30% OFF,4.3,46 min,₹100 for one,https://www.zomato.com/chennai/batter-nungambakkam/order,,chennai
Mayur Sweets Spices And Cafe,30% OFF,4.5,40 min,₹200 for one,https://www.zomato.com/chennai/mayur-sweets-spices-and-cafe-chetpet/order,,chennai
Ajab Mithaai Ghar,30% OFF,4.1,44 min,₹150 for one,https://www.zomato.com/chennai/ajab-mithaai-ghar-sowcarpet/order,,chennai
Wraps & Rolls,30% OFF,4.0,34 min,₹100 for one,https://www.zomato.com/chennai/wraps-rolls-kilpauk/order,,chennai
Zaiqa Fast Food,30% OFF,4.3,37 min,₹150 for one,https://www.zomato.com/chennai/zaiqa-fast-food-triplicane/order,,chennai
Adda Cafe & Chats,₹101 OFF,4.0,30 min,₹200 for one,https://www.zomato.com/chennai/adda-cafe-chats-purasavakkam/order,,chennai
Shree Maa Inti Devi Chat,₹101 OFF,3.6,28 min,₹100 for one,https://www.zomato.com/chennai/shree-maa-inti-devi-chat-purasavakkam/order,,chennai
The Tandoori Kitchen,₹101 OFF,3.7,20 min,₹150 for one,https://www.zomato.com/chennai/the-tandoori-kitchen-2-park-town/order,,chennai
Cake World,₹101 OFF,4.3,31 min,₹200 for one,https://www.zomato.com/chennai/cake-world-purasavakkam/order,,chennai
Kazim's Kebab,₹101 OFF,3.7,43 min,₹150 for one,https://www.zomato.com/chennai/kazims-kebab-1-triplicane/order,,chennai
After Hours,₹101 OFF,3.8,32 min,₹400 for one,https://www.zomato.com/chennai/after-hours-park-town/order,,chennai
The Lakshmi Cafe,₹101 OFF,3.9,28 min,₹100 for one,https://www.zomato.com/chennai/the-lakshmi-cafe-egmore/order,,chennai
Cafe Royal,₹101 OFF,4.0,25 min,₹150 for one,https://www.zomato.com/chennai/cafe-royal-1-purasavakkam/order,,chennai
Cafe Stop,₹101 OFF,4.2,34 min,₹400 for one,https://www.zomato.com/chennai/cafe-stop-egmore/order,,chennai
Mansuk's Sweets & Snacks,₹101 OFF,3.9,27 min,₹100 for one,https://www.zomato.com/chennai/mansuks-sweets-snacks-purasavakkam/order,,chennai
Azan Feast,₹101 OFF,-,38 min,₹100 for one,https://www.zomato.com/chennai/azan-feast-triplicane/order,,chennai
KUP Modern Kitchen & Coffee Bar,₹101 OFF,4.4,45 min,₹400 for one,https://www.zomato.com/chennai/kup-modern-kitchen-coffee-bar-nungambakkam/order,,chennai
Amal Fried Chicken And Wrap,₹101 OFF,4.4,28 min,₹200 for one,https://www.zomato.com/chennai/amal-fried-chicken-and-wrap-purasavakkam/order,,chennai
New Cauvery Restaurant,₹101 OFF,4.3,20 min,₹100 for one,https://www.zomato.com/chennai/new-cauvery-restaurant-park-town/order,,chennai
Enoki,₹101 OFF,4.4,25 min,₹400 for one,https://www.zomato.com/chennai/enoki-egmore/order,,chennai
Garrison,Flat 10% OFF,4.1,35 min,"₹1,200 for one",https://www.zomato.com/chennai/garrison-2-egmore/order,,chennai
Bombay Ice Cream Co.,₹101 OFF,4.2,28 min,₹100 for one,https://www.zomato.com/chennai/bombay-ice-cream-co-park-town/order,,chennai
Hotel Vimala,₹101 OFF,4.0,33 min,₹100 for one,https://www.zomato.com/chennai/hotel-vimala-2-egmore/order,,chennai
Zomoz - The Momo Company,₹101 OFF,4.1,40 min,₹250 for one,https://www.zomato.com/chennai/zomoz-the-momo-company-kilpauk/order,,chennai
WOW! China,₹101 OFF,3.4,,₹200 for one,https://www.zomato.com/chennai/wow-china-anna-nagar-east/order,,chennai
Swayed Over Coffee,₹101 OFF,3.1,31 min,₹100 for one,https://www.zomato.com/chennai/swayed-over-coffee-egmore/order,,chennai
Venkateshwara Boli Stall,₹101 OFF,3.7,32 min,₹100 for one,https://www.zomato.com/chennai/venkateshwara-boli-stall-1-purasavakkam/order,,chennai
SK Bangarpet Chats,30% OFF,3.7,30 min,₹150 for one,https://www.zomato.com/chennai/sk-bangarpet-chats-purasavakkam/order,,chennai
Mint Chat,30% OFF,3.4,31 min,₹150 for one,https://www.zomato.com/chennai/mint-chat-purasavakkam/order,,chennai
Acha Coffee,30% OFF,4.0,44 min,₹200 for one,https://www.zomato.com/chennai/acha-coffee-nungambakkam/order,,chennai
Hotel Kalyana Bhavan Biriyani,30% OFF,3.8,33 min,₹200 for one,https://www.zomato.com/chennai/hotel-kalyana-bhavan-biriyani-egmore/order,,chennai
Madras Blend & Brews,30% OFF,4.0,27 min,₹350 for one,https://www.zomato.com/chennai/madras-blend-brews-purasavakkam/order,,chennai
Bismi Foods,30% OFF,3.2,33 min,₹200 for one,https://www.zomato.com/chennai/bismi-foods-egmore/order,,chennai
Bull's Eye,30% OFF,3.5,36 min,₹150 for one,https://www.zomato.com/chennai/bulls-eye-egmore/order,,chennai
Hotel Paradise,30% OFF,4.2,27 min,₹350 for one,https://www.zomato.com/chennai/hotel-paradise-3-purasavakkam/order,,chennai
Juice Pump,30% OFF,4.3,29 min,₹200 for one,https://www.zomato.com/chennai/juice-pump-egmore/order,,chennai
Murugan Idli Shop Sweets & Snacks,30% OFF,-,20 min,₹100 for one,https://www.zomato.com/chennai/murugan-idli-shop-sweets-snacks-park-town/order,,chennai
Gupta Chats Center,30% OFF,3.5,37 min,₹100 for one,https://www.zomato.com/chennai/gupta-chats-center-triplicane/order,,chennai
Raj Snacks,30% OFF,4.0,35 min,₹150 for one,https://www.zomato.com/chennai/raj-snacks-kilpauk/order,,chennai
