product_id,brand,product_name,image_url,selling_price,mrp_price,discount_percent,rating,comment_count,listing_type,source_page
,WROGN,Men Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/OCTOBER/28/2I3B3jca_f4bed344731645599970b95cea3efcc7.jpg",Rs. 1121,Rs. 3299,,,,Organic,keyword
,Puma,Galaxis Pro Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/OCTOBER/8/NNUOJkf4_eae0604368584f5d990e63895588c47b.jpg",Rs. 4199,Rs. 6999,,,,Organic,keyword
,HOOH Now Comfort in Fashion,Unisex Kids Colourblocked Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/DECEMBER/31/ryqpPIpu_e2eb12133834405bb7691383daa240cd.jpg",Rs. 590,Rs. 1299,,,,Organic,keyword
,Allen Solly,Textured Block Heel,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25500050/2024/2/15/4053a885-7979-45f9-a8bb-897bc9d20a281707992344542-Allen-Solly-Textured-Open-Toe-Block-Heel-4331707992344316-1.jpg",Rs. 1632,Rs. 2299,,,,Organic,keyword
,CULT,Men Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19780880/2022/11/9/010ea267-62f0-4128-b66d-e5c93e4879101667986946464-Cultsport-Men-Black-Mesh-Running-Shoes-2741667986945818-1.jpg",Rs. 1785,Rs. 4729,,,,Organic,keyword
,GNX,Embellished  Block Heels,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MARCH/20/vERZ8BLl_2e8e27432218425cb674c8130d5cefff.jpg",Rs. 599,Rs. 1299,,,,Organic,keyword
,Roadster,Round Toe Sneakers Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2026/JANUARY/24/9bxS2om3_70852626700c442ba0efa13d2d0a7c59.jpg",Rs. 849,Rs. 4299,,,,Organic,keyword
,Puma,Softride Pro Dynamic Flex Shoe,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/SEPTEMBER/26/Wp6STmJm_9455bccdac144dd5b3a437da05c5276b.jpg",Rs. 2449,Rs. 6999,,,,Organic,keyword
,G&D,Kids Running Sports Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/NOVEMBER/1/FcFeAvPr_717b9167e58740faaefe84f0f857b6b1.jpg",Rs. 1159,Rs. 3999,,,,Organic,keyword
,Stylestry,Girls Open Toe Flats,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/34542080/2025/6/7/58e6580f-1380-46ca-bfe1-45b681dc53371749273366116-Stylestry-Girls-Open-Toe-Flats-5661749273365754-1.jpg",Rs. 408,Rs. 999,,,,Organic,keyword
,Puma,Softride Harli Hybrid Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/SEPTEMBER/23/MLuxElse_1ef3ad500068486e9972c3f59c4a430f.jpg",Rs. 2099,Rs. 5999,,,,Organic,keyword
,HRX by Hrithik Roshan,Women Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2026/JANUARY/4/KZXNDrdl_9d85e4f817d3472aaf2ccc49072de5c1.jpg",Rs. 1319,Rs. 3999,,,,Organic,keyword
,Campus,Women Round Toe Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/SEPTEMBER/23/H9CvjqmN_ad3fb6456cc04d40ac81ad30f3288201.jpg",Rs. 985,Rs. 1699,,,,Organic,keyword
,Liberty,Women Walking Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28164812/2024/3/9/7bbb801a-a28b-476d-ab7e-ca89d087eecf1709986584864LibertyBOSTER-L2ELeap7XLadiesPeachSlip-OnWalikingSportsShoes1.jpg",Rs. 861,Rs. 3199,,,,Organic,keyword
,DROP BOLD,Women Flats,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2026/JANUARY/17/ja956mhA_a3dac36da7bb448d9f7aae4b8b4bea03.jpg",Rs. 829,Rs. 2499,,,,Organic,keyword
